Vers-Chez-Grosjean
Hinterschellenberg
Epinassey
Tavannes
Glovelier
Moutier
Delle-Frontière
Courrendlin
Basel SBB RB Gr F
Grellingen
Saignelégier
Le Boéchet
La Combe
Deitingen
Vendlincourt
Basel SBB
Basel SBB RB
Olten
Basel St. Johann Hafen
Rüti bei Büren
Schweizerhalle
Sommerau
Basel SBB RB Nordkopf (Abzw)
Basel Bad Bf
Parpan Motta
Waldshut
Schweizerhalle Säurefabrik
Steinhof SO
Pientina
Malbun (Hochegg Talst.)
Olten Ost (Abzw)
Vaduzer Täli (Malbun)
Bern Matte
Nesselboden
Bern Münsterplattform
Chäserrugg Breit (Stöfelibahn)
Gänsbrunnen
Crémines
Villnachern (Spw)
Corcelles BE
Parsennfurgga
Mandra
Felsenau AG
Flumserberg Grueb
Frick
Zermatt Schweigmatten
Eiken
Effingen
Confin Basso
Schwaderloch
La Roche FR Le Brand
Brugg AG
Trübsee (Talst. Kabinenb.)
Séprais
Courcelon
Trockener Steg (3-S Kl. Matt.)
Martinet
Les Gouilles (Videmanette)
Renens VD Larges Pièces (embr)
Archy (bif)
Daillens
Epesses
Cully
Lausanne-Triage A/B
Romanel-sur-Lausanne
Bel-Air LEB
Sugnens
Sur Roche
Les Esserts-de-Rive
Vevey
Orbe
Le Sentier-L'Orient
Les Granges (Orbe)
Monthey-En Place
La Plaine
Crans VD
Satigny
Founex
Gilly-Bursinel
Vernier
Vevey-La Tour (lac)
Genève-La-Praille
Morges
Céligny
Châtelaine (bif)
Genève Poste 1
Lausanne-Triage
St-Cergue
Vufflens-le-Château
Yens
Vallorbe
Renens VD Entrepôts
Le Day
Vuarennes
Planchamp
Rossinière
Châtelard VD
Chavornay
Château-d'Oex
Monthey
Les Combes
Flendruz
Gstaad
Vouvry
Roches Grises
Losinger (embr)
Les Paluds
La Cour
Croix-du-Nant
Val-d'Illiez
Troistorrents
Leysin-Village
Chemex
Bex-Place-du-Marché
Les Planches (Aigle)
Bévieux
Fontannaz-Seulaz
Mont-Pèlerin
La Forclaz VS
Clies
Chardonne-Jongny
Blonay
St-Légier-Gare
Fayaux
Les Chevalleyres
Valmont
Rinderhütte
Court
Reconvilier
Courtemaîche
Basel SBB RB Gr B
Basel SBB RB Gr J
Basel SBB RB Gr G
Les Reussilles
Les Bois
Münchenstein
Les Breuleux
La Large-Journée
Combe-Tabeillon
Lengnau BE
La Chaux-de-Fonds-Est
Niederbipp
Grenchen Süd
Alle
Conche (Ayent)
Solothurn
Wangen bei Olten
Basel Kleinhüningen Hafen
Muttenz
Basel SBB RB II
Frenkendorf-Füllinsdorf
Lausen
Schwammboden
Wissi Stei
Heinrichswil
Olten Tunnel (Spw)
Hüniken
Olten Nord (Abzw)
Mornera
Allmend (Sesselbahn)
Härkingen Post
Lommiswil
Thalbrücke
Gruobenalp (Talst. Parsennf.)
Hinteres Riedholz
Rheinfelden Augarten
Balsthal
Brunni (Engelberg)
Staldenried Kirche
Grandval
Condémines
Winteregg (Talst. Maulerhubel)
Schaffürggli
Mumpf
Laufenburg
Prui (Talstation Clünas)
